id,class,class_id,prob
9156739011499789258,nyamachoma,9,0.883143961429596
2049465964503133373,kachumbari,3,0.5584192276000977
6446998501027132988,nyamachoma,9,0.841997504234314
4194396063119815321,ugali,12,0.9993459582328796
9018117998187006009,mandazi,5,0.417510062456131
6246759883907852128,masalachips,6,0.9999653100967407
16478122708528316044,nyamachoma,9,0.9911847710609436
14045745760440690312,chapati,1,0.42194223403930664
7872954221890963019,matoke,7,0.6200990080833435
4868486697531317477,chapati,1,0.9996930360794067
1553184083042063886,chapati,1,0.9861682057380676
16150381593558613667,nyamachoma,9,0.8730063438415527
10748063253389367191,kachumbari,3,0.904447615146637
7678641842478065807,githeri,2,0.8532463908195496
1836395629110611498,masalachips,6,0.6045443415641785
7012179965129100386,ugali,12,0.9717233777046204
10845272713647403861,sukumawiki,11,0.9730322957038879
12076092859851631966,nyamachoma,9,0.9789405465126038
4274441265593863943,nyamachoma,9,0.8574657440185547
378295533330079115,chapati,1,0.9996155500411987
11993608360875146910,masalachips,6,0.9819135069847107
15124601588601977470,chapati,1,0.999617338180542
14510735002641936346,githeri,2,0.9938593506813049
3551710730860252797,chapati,1,0.5857506394386292
9747940763924069508,nyamachoma,9,0.9722777009010315
14524516184482112107,kachumbari,3,0.2458595186471939
14972385907001542357,chapati,1,0.9988530874252319
11525666882164779739,masalachips,6,0.3351373076438904
12352579916842867652,chapati,1,0.9930725693702698
6381810042027465099,nyamachoma,9,0.9934868812561035
1820280516107246454,matoke,7,0.9961304664611816
3386800443469418132,bhaji,0,0.5970660448074341
4711036524470639280,pilau,10,0.9610145688056946
12768257978219958878,masalachips,6,0.9168208241462708
16957067880792897424,nyamachoma,9,0.7358456254005432
7136939377674940311,ugali,12,0.9824615120887756
8116123868165089883,ugali,12,0.7532160878181458
12714720349333631297,chapati,1,0.9887943863868713
13250986353851418035,chapati,1,0.9997381567955017
12177996140980390810,githeri,2,0.991443932056427
12890258924022188867,mandazi,5,0.9997602105140686
15017846103792770311,githeri,2,0.8456655144691467
13406266595115779191,ugali,12,0.9979669451713562
8064953204903028586,matoke,7,0.9960455298423767
5069828705950569129,mandazi,5,0.9971482157707214
10110582739476753591,matoke,7,0.5035306811332703
12295810728359605251,githeri,2,0.996757447719574
6901262699491525201,mandazi,5,0.9984927177429199
18345681561108186439,githeri,2,0.9993822574615479
14180072963460703831,nyamachoma,9,0.99647456407547
7817844030831091189,sukumawiki,11,0.8410292267799377
1014758634312903488,nyamachoma,9,0.38863086700439453
12190229724565779094,ugali,12,0.9920672178268433
14262882924647087716,mandazi,5,0.9984903335571289
1106694991546983314,kachumbari,3,0.9296565651893616
2824555299549354995,masalachips,6,0.8720188140869141
15008606007081715042,chapati,1,0.9984962940216064
15074122413915912633,mandazi,5,0.9723124504089355
17237943203754196098,nyamachoma,9,0.972956120967865
11750276302507587184,nyamachoma,9,0.9990222454071045
988574772261623475,githeri,2,0.9996612071990967
2910467219646285575,masalachips,6,0.9999916553497314
982109183056815075,mandazi,5,0.9946269392967224
5993711308710164914,chapati,1,0.9782700538635254
