id,class,class_id,prob
9156739011499789258,nyamachoma,9,0.778501570224762
2049465964503133373,kachumbari,3,0.6070473194122314
6446998501027132988,nyamachoma,9,0.9685139060020447
4194396063119815321,ugali,12,0.9997809529304504
9018117998187006009,mandazi,5,0.7602123022079468
6246759883907852128,masalachips,6,0.9999091625213623
16478122708528316044,nyamachoma,9,0.9954126477241516
14045745760440690312,masalachips,6,0.19689235091209412
7872954221890963019,matoke,7,0.6640946269035339
4868486697531317477,chapati,1,0.999528169631958
1553184083042063886,chapati,1,0.985129714012146
16150381593558613667,bhaji,0,0.6741586923599243
10748063253389367191,kachumbari,3,0.8565236926078796
7678641842478065807,githeri,2,0.4700247645378113
1836395629110611498,nyamachoma,9,0.5615667700767517
7012179965129100386,ugali,12,0.9436721801757812
10845272713647403861,sukumawiki,11,0.793201208114624
12076092859851631966,nyamachoma,9,0.9598391056060791
4274441265593863943,nyamachoma,9,0.885365903377533
378295533330079115,chapati,1,0.9987247586250305
11993608360875146910,masalachips,6,0.9811532497406006
15124601588601977470,chapati,1,0.9994213581085205
14510735002641936346,githeri,2,0.9826754331588745
3551710730860252797,chapati,1,0.48849886655807495
9747940763924069508,nyamachoma,9,0.9252296686172485
14524516184482112107,kachumbari,3,0.39892131090164185
14972385907001542357,chapati,1,0.9967836141586304
11525666882164779739,masalachips,6,0.4724317193031311
12352579916842867652,chapati,1,0.9937521815299988
6381810042027465099,nyamachoma,9,0.9943512678146362
1820280516107246454,matoke,7,0.9932239055633545
3386800443469418132,bhaji,0,0.9266974329948425
4711036524470639280,pilau,10,0.9886110424995422
12768257978219958878,masalachips,6,0.9789268374443054
16957067880792897424,nyamachoma,9,0.7087696194648743
7136939377674940311,ugali,12,0.9920135140419006
8116123868165089883,sukumawiki,11,0.7646024823188782
12714720349333631297,chapati,1,0.9689818024635315
13250986353851418035,chapati,1,0.9996742010116577
12177996140980390810,githeri,2,0.9962700605392456
12890258924022188867,mandazi,5,0.9997665286064148
15017846103792770311,githeri,2,0.909224808216095
13406266595115779191,ugali,12,0.9934387803077698
8064953204903028586,matoke,7,0.9991247057914734
5069828705950569129,mandazi,5,0.9931454658508301
10110582739476753591,mandazi,5,0.3976549804210663
12295810728359605251,githeri,2,0.9883791208267212
6901262699491525201,mandazi,5,0.9994630217552185
18345681561108186439,githeri,2,0.9987813830375671
14180072963460703831,nyamachoma,9,0.9965353012084961
7817844030831091189,sukumawiki,11,0.8159515857696533
1014758634312903488,masalachips,6,0.34164199233055115
12190229724565779094,ugali,12,0.9734708070755005
14262882924647087716,mandazi,5,0.9998867511749268
1106694991546983314,kachumbari,3,0.6796016097068787
2824555299549354995,masalachips,6,0.9807693958282471
15008606007081715042,chapati,1,0.9988551139831543
15074122413915912633,mandazi,5,0.8722261786460876
17237943203754196098,nyamachoma,9,0.5261676907539368
11750276302507587184,nyamachoma,9,0.9576273560523987
988574772261623475,githeri,2,0.9971844553947449
2910467219646285575,masalachips,6,0.9999545812606812
982109183056815075,mandazi,5,0.9868059158325195
5993711308710164914,chapati,1,0.8105827569961548
10891132468026687488,ugali,12,0.9990805387496948
5561760193647370049,chapati,1,0.9924092292785645
11933447057896498110,mandazi,5,0.9947486519813538
18403896937644910866,bhaji,0,0.35951828956604004
1173586271487070643,nyamachoma,9,0.9964255690574646
11494506886140471019,mandazi,5,0.998403012752533
13106084860451128932,bhaji,0,0.9065098166465759
16613706322518465182,matoke,7,0.6319320797920227
13553859105330776750,mukimo,8,0.9989097118377686
3335148740868677310,bhaji,0,0.7841700315475464
12831757841808404416,sukumawiki,11,0.3438790738582611
8196388079885693776,masalachips,6,0.9946257472038269
10535164608254533949,mukimo,8,0.9800962805747986
10954539690037219490,githeri,2,0.9952359795570374
4059811277090856517,sukumawiki,11,0.9993435740470886
9388962691197438734,nyamachoma,9,0.8716774582862854
13843672218362106083,ugali,12,0.9993234872817993
16562815677981514851,sukumawiki,11,0.4883354604244232
13517487854360157108,nyamachoma,9,0.9769755601882935
13319384938647182256,nyamachoma,9,0.8245528936386108
16273186685497510505,pilau,10,0.9931560158729553
1697974532803824405,masalachips,6,0.8616468906402588
16903252693459438162,chapati,1,0.9994342923164368
1969860806706222385,kachumbari,3,0.984398365020752
16346221003002318158,masalachips,6,0.9985820055007935
12431941384907995104,nyamachoma,9,0.9877738356590271
5634936085032883235,mandazi,5,0.4210714101791382
6919287004125397271,chapati,1,0.9979681372642517
761270166752000015,nyamachoma,9,0.4560123383998871
2297886573487684944,sukumawiki,11,0.4885540008544922
8122302957309708656,githeri,2,0.9822726249694824
10797822793240488233,chapati,1,0.6593803763389587
1686713138475937211,matoke,7,0.6544915437698364
12304585492801821345,masalachips,6,0.9989895224571228
15549099511346145382,ugali,12,0.9942078590393066
5134535133102715871,chapati,1,0.5637603402137756
14534943687071186959,bhaji,0,0.5408083200454712
3661055381603002730,masalachips,6,0.9933907985687256
17265890521318489894,nyamachoma,9,0.8420405387878418
3400137384372973994,pilau,10,0.7293744087219238
14977836354102447397,chapati,1,0.9881699085235596
9783693169806472726,ugali,12,0.9868600964546204
1357774156620403185,bhaji,0,0.6286357045173645
8252559831012063925,mandazi,5,0.9986225366592407
11626675398845327226,kachumbari,3,0.9947080612182617
12165321421457961757,chapati,1,0.9492284655570984
2639891745231154257,nyamachoma,9,0.823204755783081
11243847040700125467,githeri,2,0.999997615814209
1173020092299634974,pilau,10,0.9943623542785645
13783194148085135188,masalachips,6,0.9877562522888184
15091543643924590227,ugali,12,0.976796567440033
8685939564181023847,mukimo,8,0.9142995476722717
18339339599291781704,pilau,10,0.7876660227775574
16008198301773137843,masalachips,6,0.9991911053657532
8981669783289304769,mandazi,5,0.7343453168869019
2091586883237847738,sukumawiki,11,0.9026815891265869
14977720817061600083,sukumawiki,11,0.9981731176376343
11535783017487666377,githeri,2,0.8747807145118713
9470207748503241447,bhaji,0,0.5500338673591614
383985176186318350,ugali,12,0.9704127907752991
3329821741742186938,bhaji,0,0.4216049015522003
691689698043245695,nyamachoma,9,0.9578177332878113
16261532715470619259,sukumawiki,11,0.6997160911560059
2836541796130738193,masalachips,6,0.8573434352874756
10973711001735621347,masalachips,6,0.9652188420295715
5626538573426609586,nyamachoma,9,0.1658543050289154
13821488647740832481,mandazi,5,0.9980717897415161
8542395356535003059,chapati,1,0.9991638660430908
11056899456295591592,sukumawiki,11,0.6810443997383118
8603847493940663559,bhaji,0,0.8750960826873779
5273979289374794223,ugali,12,0.5523305535316467
4666889333254385141,sukumawiki,11,0.9499255418777466
11608483177445666809,pilau,10,0.9946192502975464
3351352079149286272,chapati,1,0.8779435157775879
15911324942732885782,kachumbari,3,0.9774913787841797
15314143806655733248,sukumawiki,11,0.5801875591278076
15620030317225182783,chapati,1,0.4188700020313263
1115228811319201106,mandazi,5,0.8696421384811401
15036260053820178320,chapati,1,0.9996066689491272
6255168012794566642,matoke,7,0.41755375266075134
5359860056357259916,mandazi,5,0.9992924928665161
8510036279344254906,mandazi,5,0.9950436353683472
13433362408458218349,mandazi,5,0.936443030834198
9177832684280818731,ugali,12,0.9761139154434204
14698117972999685745,nyamachoma,9,0.9918734431266785
12196416060090351959,pilau,10,0.9955824017524719
7190465626661991478,chapati,1,0.8753674626350403
15332892200993368190,chapati,1,0.9927380681037903
15690765801804992630,githeri,2,0.5190069079399109
10102135989223399039,kachumbari,3,0.40008819103240967
8422818151717390944,chapati,1,0.9985519051551819
9959793093699039658,bhaji,0,0.551351010799408
12190482841788287969,nyamachoma,9,0.9987044334411621
17288124010928133768,matoke,7,0.9845024943351746
10748354524868351672,sukumawiki,11,0.9911352396011353
8366853423763282151,masalachips,6,0.9996439218521118
1783605112612427915,ugali,12,0.7136459350585938
14171265242887745988,ugali,12,0.6552401185035706
1475593175992332077,kachumbari,3,0.9312537312507629
13585512538775023364,bhaji,0,0.9981942772865295
5266706443640987761,ugali,12,0.9865697026252747
11886108908787234100,githeri,2,0.9989639520645142
4418741899287152795,chapati,1,0.7793565988540649
12123628312093621035,matoke,7,0.9508205652236938
13628448682521713100,ugali,12,0.6905688643455505
17918549253947459126,masalachips,6,0.721704363822937
8836295853288823747,nyamachoma,9,0.9804014563560486
12563942188259613277,matoke,7,0.9897107481956482
7279049750008194702,chapati,1,0.6506285071372986
15008498520128955330,masalachips,6,0.9930089712142944
10480333472611798096,masalachips,6,0.978312611579895
12328727869028574419,nyamachoma,9,0.9837023019790649
7471730227220449048,mandazi,5,0.9695825576782227
2893998969832300199,matoke,7,0.9825167059898376
14068111136860818040,mandazi,5,0.988499104976654
11141297177585788700,kachumbari,3,0.2419402301311493
13014842969128712002,sukumawiki,11,0.31968075037002563
13395793322365795428,bhaji,0,0.9066162109375
6377591373614883913,nyamachoma,9,0.5586404800415039
397792304508206428,matoke,7,0.9870331287384033
13437902355558957450,pilau,10,0.9948529601097107
5973698746249271789,nyamachoma,9,0.999417781829834
13651203668939430381,masalachips,6,0.998706579208374
16435542866281203198,bhaji,0,0.9762983322143555
15851485436682147775,mandazi,5,0.9624300003051758
7903242276198010604,sukumawiki,11,0.20035859942436218
13813539405832200604,chapati,1,0.9904788732528687
8457914491089307501,chapati,1,0.992570698261261
16200589865827271682,matoke,7,0.9914906620979309
17725084622075378553,ugali,12,0.9868034720420837
5042902231190736409,chapati,1,0.9023475646972656
7622877246147659431,mandazi,5,0.9970619082450867
13382607997436886168,mandazi,5,0.9965643286705017
7058867706280603036,masalachips,6,0.955487847328186
9843029272490566120,matoke,7,0.931693434715271
2026656771021130366,mukimo,8,0.771300196647644
3418538388241751958,sukumawiki,11,0.9315785765647888
6646785428062490064,bhaji,0,0.9887837767601013
9345882131302789141,nyamachoma,9,0.6856703758239746
7543536850118167079,nyamachoma,9,0.9925771355628967
18423764079108289895,pilau,10,0.6489492058753967
